HIGHDEG,TUITFTE,SATVR25,SATVR75,SATMT25,SATMT75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,COSTT4_A,NPT4_PRIV,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,MARRIED,DEPENDENT,FIRST_GEN,PCTFLOAN,PCTPELL,COSTT4_A.1,C100_4,C150_4,GT_25K_P10,Earning
0.673814249,-0.069251905,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.788109453,-0.562023531,-0.459330004,-0.146270589,0.159755199,-0.985840532,1.377830539,-0.567685283,-0.497101381,-0.157619265,-0.131017273,-0.830627557,-0.511208751,3.215422484,0.817528039,-0.457290893,0.91507501,0.790325848,1.077274677,-0.788109453,-0.061207056,0.039343859,0.500610871,0.356963109
-0.344062123,-0.136649312,1.201122986,1.226278421,1.171270882,1.199913647,1.444657572,1.588474108,1.477903227,1.348591828,0.831055326,0.045705846,-0.168303476,0.502138336,-0.485743724,0.807077044,-0.140737708,-0.506882529,0.212543865,-0.008814737,-0.131017273,-0.646321493,-0.511208751,-0.586812896,-1.497648371,0.902021202,0.176890516,-0.240926952,-0.886426688,0.831055326,0.813017116,0.670832186,0.571396944,0.460271278
-0.344062123,-0.274886219,0.457113241,0.8877087,-0.053129705,1.132857268,0.22507367,1.515467489,0.23709927,1.123826523,-0.7187697,-0.632268402,-0.449181722,0.599283473,-0.582452881,-1.958964231,3.621773133,-0.420986574,-0.410415937,-0.157619265,-0.131017273,-0.718598381,0.094496676,-0.659603438,-1.497648371,0.683500641,0.78862484,1.321493566,1.827995175,-0.7187697,0.022141246,0.081142372,-0.023507288,-0.59077705
0.673814249,-0.110188224,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.015080867,0.205902293,0.220277501,-0.161144486,0.174562343,-0.668408299,1.842247042,-0.476481151,-0.485347422,-0.065710586,-0.081763634,-0.205432475,-0.274645687,-0.29136893,0.653501754,0.033723904,0.601255408,0.603139305,0.679384767,-0.015080867,0.124305117,0.167295422,0.458440444,0.267129919
-0.344062123,-0.140798263,1.035787487,1.023136588,0.967204117,0.898159942,1.069400986,1.077427769,0.905224477,1.048904755,0.111676475,0.078762256,-0.178451758,0.355258608,-0.339523179,0.234334498,0.297140709,-0.479376521,-0.432454609,0.020362622,-0.066608668,0.112585832,-0.431921131,0.520745158,0.540852735,0.485436486,0.410886195,0.568603042,-0.056852376,0.111676475,0.405916639,0.382753225,0.446391751,0.177296728
0.673814249,-0.115136232,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.660958454,-0.839930462,-0.534296342,2.274456066,-2.250107447,0.604552407,-0.127468665,-0.367422242,-0.547055705,0.313595074,0.478970099,-0.830627557,-0.301941425,-0.198596671,1.305973793,-0.085387375,-2.024402167,-0.350061542,0.790021497,-0.660958454,0.327544354,0.457028281,-2.104919057,-1.655345273
-0.344062123,-0.203186196,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.086838795,-0.710353574,-0.43150407,-1.850726166,1.856561329,0.652669962,0.11481423,-0.523772183,-0.391315754,-0.080299265,-0.131017273,-0.639093804,-0.338335743,-0.204305733,0.601777616,0.125750167,0.654902897,0.586561899,0.265804558,-0.086838795,0.511657022,0.354185896,0.337953511,-0.110169481
-0.344062123,-0.292281081,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.446978113,-0.169796517,0.02746015,0.374780598,-0.358957555,-1.998822803,4.094052772,-0.587470307,-0.547055705,-0.157619265,-0.108284824,-0.628252271,-0.511208751,-0.628203596,0.387283078,0.686239003,0.587908824,1.290756292,1.741497368,-0.446978113,0.066925409,0.008521214,0.176802238,-0.393144031
0.673814249,-0.14645313,0.829118113,0.921565672,0.844764059,0.831103563,1.069400986,1.150434389,0.905224477,0.973982987,0.047004362,0.076325405,-0.076641577,-0.372167892,0.384638695,0.267011345,0.354639895,-0.524737306,-0.476531954,0.102059225,-0.131017273,0.011398189,-0.039382421,-0.043024728,0.55124985,0.472119886,0.458093574,0.714691433,0.31609398,0.047004362,0.325989349,0.32261148,0.419282191,0.051530262
0.673814249,-0.092793362,0.878718763,0.921565672,0.722324,0.831103563,0.787958548,0.931414529,0.809778019,0.82413945,0.319414552,0.709376839,0.060196543,0.008046087,0.006131083,-2.038322289,3.5018603,-0.488062628,-0.523547788,-0.071546058,-0.131017273,-0.830627557,0.506532342,-0.181469484,0.451210938,0.656111838,0.154115108,0.609355832,0.377648233,0.319414552,0.247928066,0.362455386,0.368075245,0.087463538
0.673814249,0.111857497,1.242456861,1.226278421,1.171270882,1.183149552,1.538471718,1.442460869,1.28701031,1.27367006,0.591374849,0.893835843,0.438301874,-0.368449418,0.380936909,0.878894291,-0.359922639,-0.311445103,-0.411885182,-0.128441907,-0.131017273,-0.415035451,-0.125169026,-0.608221879,0.438271233,0.732497106,0.078697034,-0.732723331,-1.099251524,0.591374849,0.679908633,0.699098806,0.627122151,0.904945571
0.673814249,-0.218706347,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.998940544,-0.93634499,-0.400077134,-0.078873246,0.092660329,-2.021445236,4.086189636,-0.60098203,-0.547055705,-0.157619265,-0.131017273,-0.678846092,-0.511208751,-0.448368139,0.467060495,0.093352606,0.942701676,1.184039241,1.659022715,-0.998940544,-0.002427843,0.028067281,-2.104919057,-1.655345273
0.673814249,-0.080838236,1.077121362,1.158564476,1.089644176,1.116093173,1.350843425,1.296447629,1.096117394,1.198748291,0.820257894,0.150066626,-0.156845739,-0.155101965,0.168546941,0.358219249,0.082378792,-0.298898503,-0.389846509,-0.049663039,-0.131017273,0.419762607,-0.222653805,-0.178614953,-1.497648371,0.848400996,0.340791747,0.471901507,-0.730730636,0.820257894,0.729824314,0.579416733,0.598506504,0.563579447
-0.344062123,-0.125339579,-0.869704138,-0.876239547,-0.873478098,-0.882186916,0.787958548,1.077427769,0.905224477,0.599374146,-0.748968766,-0.504386714,-0.498941039,0.570930108,-0.554226764,0.158208216,0.850017498,-0.516051198,-0.460370261,-0.071546058,-0.131017273,-0.617410737,-0.434520725,-0.239987371,0.800121476,-0.135113191,0.650779913,0.758207124,0.91514158,-0.748968766,0.177952812,-0.029368086,0.381630025,-0.015844631
-0.344062123,0.203841282,0.787784239,0.803066269,0.571314594,0.780811279,0.506516109,0.56638143,0.714331561,0.524452378,-0.236147023,-0.137163907,-0.208896602,0.510040094,-0.493610019,-1.790911872,3.757412238,-0.518946567,-0.519140053,-0.157619265,-0.131017273,-0.830627557,-0.486512607,-0.646758048,-1.497648371,0.748008366,0.550086089,1.20372491,1.735060322,-0.236147023,0.126637625,0.011377947,0.164753545,-0.40212735
-0.344062123,0.102238077,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.532345303,-0.600483392,-0.286481852,0.719669073,-0.702298201,-1.827179582,3.613909996,-0.38865495,-0.511793829,-0.157619265,-0.131017273,-0.830627557,-0.511208751,-0.449795404,-1.497648371,0.661011838,0.640743155,0.15520398,0.653234268,-0.532345303,0.463762849,0.371326294,0.149692678,-0.469502243
0.673814249,-0.018696167,0.787784239,0.853851727,0.803950706,0.864631752,0.97558684,0.85840791,1.000670936,0.899061219,0.138838763,1.159664471,0.292624928,-0.019842469,0.033894478,-2.046940359,3.119515286,-0.584092376,-0.525017032,-0.151783793,-0.131017273,-0.830627557,-0.47611423,2.406162927,-1.497648371,0.82628555,0.261331638,0.736449278,0.875714672,0.138838763,0.270475647,0.415380122,0.453922184,0.213230005
0.673814249,-0.000778844,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-1.708759169,-1.938632282,-0.525130153,1.771067631,-1.748978175,-0.503587717,-0.081764184,-0.279113479,-0.220883356,-0.157619265,-0.131017273,0.773919358,-0.511208751,3.780619635,1.175138092,-0.310004708,0.613851236,-0.302056137,-0.0496107,-1.708759169,-1.616212698,-1.798287174,-2.104919057,-1.655345273
-0.344062123,-0.202233474,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-0.809479369,-0.707281023,-0.54575408,0.583479958,-0.566720291,0.999547266,-0.682311238,-0.422434258,-0.547055705,0.923401866,-0.131017273,0.506494872,-0.511208751,-0.659603438,-1.497648371,-2.185071141,-2.024402167,-0.915074797,-0.222203997,-0.809479369,-1.616212698,-1.798287174,-2.104919057,-1.655345273
0.673814249,-0.040854639,1.201122986,1.192421448,0.967204117,0.981980415,0.787958548,0.931414529,1.096117394,0.973982987,0.689226569,0.775489659,-0.464567827,-0.359618042,0.372145168,-0.153119551,-0.539300442,-0.425329628,-0.172398277,2.548580733,0.281955544,2.584455405,-0.511208751,0.586399372,0.690544538,0.088891539,-2.024402167,-0.072389991,-0.390774141,0.689226569,0.768077453,0.607382644,0.568384771,0.608496042
0.673814249,1.745683741,-0.869704138,-0.876239547,-0.873478098,-0.882186916,-0.806881939,-0.820744348,-0.81281177,-0.82413945,-1.708759169,-1.938632282,-0.554265542,-1.999000322,2.004170043,-2.059508377,-0.682311238,4.224633417,-0.547055705,-0.157619265,-0.131017273,-0.830627557,-0.511208751,-0.659603438,-1.497648371,-2.185071141,-2.024402167,-1.901775818,-1.658872216,-1.708759169,-1.616212698,-1.798287174,0.818395157,5.598729771
